tag,bid,hold,exit7,tp50,real_vs_impl,err
ibfly_smoke,877fddd911eec124a4e9e0d4b86346de,"$1,975/100%","mid $715/56% | cons $-25,215/0%","mid $1,870/100%",real 173p / σ 194p / 0.89,
ibfly_d30_w0.15,fed92517d63e64583e6c48b245c6ab66,"$5,714/90%","mid $4,155/61% | cons $-326,585/1%","mid $25,330/98%",real 164p / σ 212p / 0.77,
ibfly_dte1,c446e7859b6f52b7c9d384327fe11360,"$9,940/89%",,"mid $46,772/95%",real 47p / σ 55p / 0.85,
ibfly_dte4,4ee0ffbef4199a6717c104f148446b06,"$10,102/89%",,"mid $73,992/96%",real 67p / σ 83p / 0.81,
ibfly_dte7,822bd72fc4d2668efd60ac66199fc361,,,,,
ibfly_dte15,137041ca6e9bd8e7f0b8529edf6f8c38,"$14,094/92%","mid $4,135/50% | cons $-303,450/0%","mid $32,686/99%",real 116p / σ 155p / 0.75,
ibfly_dte30,7ea5a516be7aa1da12f9163cbbddf7be,"$5,714/90%","mid $4,155/61% | cons $-326,585/1%","mid $25,330/98%",real 164p / σ 212p / 0.77,
ibfly_dte45,019242cddc951bb2deb99aed4fa18737,"$8,668/88%","mid $8,702/62% | cons $-370,980/2%","mid $38,978/99%",real 197p / σ 270p / 0.73,
ibfly_w0.15,086bba6c44a8cef3e29c43511e872829,"$5,714/90%","mid $4,155/61% | cons $-326,585/1%","mid $25,330/98%",real 164p / σ 212p / 0.77,
ibfly_w0.25,dd0f71a97577cfa72c35e0f860399393,"$20,175/86%","mid $9,295/60% | cons $-305,620/5%","mid $41,214/96%",real 167p / σ 210p / 0.80,
ibfly_w0.40,847bfd4f0e8bbee263bfe45e15dd5cb5,"$38,138/79%","mid $26,138/60% | cons $-280,480/8%","mid $43,394/90%",real 167p / σ 212p / 0.79,
ibfly_d30_minchk,876a6e238a1a69c509abf3a98a1a85f3,"$5,660/100%","mid $368/52% | cons $-21,650/4%","mid $5,405/100%",real 232p / σ 265p / 0.88,
