trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,checkpoint_date,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,SPX,42,5686.67,0.192642,19.26,22.68,market,5260.0,6000.0,-0.1617,0.1728,44.55,25.8,70.35,5802.82,14.25,16.85,39.25,3925.0,2025-05-23,5976.97,0.0,0.0,70.35,7035.0,True,WIN
2025-06-06,2025-07-18,SPX,42,6000.36,0.14343,14.34,16.77,market,5655.0,6280.0,-0.16,0.1626,34.95,20.35,55.3,,,,,,2025-06-27,6296.79,0.0,16.79,38.51,3851.0,False,WIN
2025-07-03,2025-08-15,SPX,43,6279.35,0.138292,13.83,16.38,market,5935.0,6570.0,-0.161,0.1598,35.35,20.4,55.75,6388.64,6.25,10.05,39.45,3945.0,2025-07-25,6449.8,0.0,0.0,55.75,5575.0,True,WIN
2025-08-01,2025-09-12,SPX,42,6238.01,0.157687,15.77,20.38,market,5825.0,6530.0,-0.1602,0.1619,42.05,21.1,63.15,6466.91,2.575,30.55,30.025,3002.5,2025-08-22,6584.29,0.0,54.29,8.86,886.0,False,WIN
2025-09-05,2025-10-17,SPX,42,6481.5,0.124018,12.4,15.18,market,6145.0,6730.0,-0.1598,0.1657,33.95,18.45,52.4,6643.7,6.8,29.4,16.2,1620.0,2025-09-26,6664.01,0.0,0.0,52.4,5240.0,True,WIN
2025-10-03,2025-11-14,SPX,42,6715.79,0.134825,13.48,16.65,market,6340.0,7000.0,-0.1604,0.1673,38.2,21.7,59.9,6791.69,11.2,6.1,42.6,4260.0,2025-10-24,6734.11,0.0,0.0,59.9,5990.0,True,WIN
2025-11-07,2025-12-19,SPX,42,6728.8,0.161349,16.13,19.08,market,6300.0,7075.0,-0.1592,0.159,43.05,24.3,67.35,6849.09,6.05,6.5,54.8,5480.0,2025-11-28,6834.5,0.0,0.0,67.35,6735.0,True,WIN
2025-12-05,2026-01-16,SPX,42,6870.4,0.132588,13.26,15.41,market,6515.0,7170.0,-0.16,0.161,35.95,21.3,57.25,6929.94,6.85,4.05,46.35,4635.0,2025-12-26,6940.01,0.0,0.0,57.25,5725.0,True,WIN
2026-01-02,2026-02-13,SPX,42,6858.47,0.127705,12.77,14.51,market,6525.0,7150.0,-0.1631,0.1493,35.05,18.0,53.05,6915.61,11.05,3.5,38.5,3850.0,2026-01-23,6836.17,0.0,0.0,53.05,5305.0,True,WIN
2026-02-06,2026-03-20,SPX,42,6932.3,0.147962,14.8,20.37,market,6505.0,7230.0,-0.1607,0.1658,43.65,22.35,66.0,6878.88,29.65,1.4,34.95,3495.0,2026-02-27,6506.48,0.0,0.0,66.0,6600.0,True,WIN
2026-03-06,2026-04-17,SPX,42,6740.02,0.219412,21.94,29.49,market,6220.0,7120.0,-0.1942,0.1606,80.45,27.25,107.7,,,,,,2026-03-27,7126.06,0.0,6.0601,101.6399,10163.99,False,WIN
2026-04-02,2026-05-15,SPX,43,6582.69,0.2001,20.01,23.87,fallback_entry,6085.0,6950.0,-0.1688,0.1594,56.85,25.9,82.75,,,,,,2026-04-21,6582.69,0.0,0.0,82.75,8275.0,True,WIN
